date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:47	110/110	---M-Z	200	added ('OK')	text/plain	etag:%22933f061b634233802d1790ee174f7682%22	https://incomplete-learning-491835.framer.app/robots.txt		(from )
14:18:49	750510/750510	---M-Z	200	added ('OK')	text/html	etag:%2229b8771790457ac119754ac7a1966bcd%22	https://incomplete-learning-491835.framer.app/	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/incomplete-learning-491835.framer.app/index.html	(from )
14:18:50	49157/49157	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2026%20Apr%202024%2007:18:49%20GMT	https://framerusercontent.com/images/7Sbsg8sO6E6ZrytHtPymWx8Kylc.jpg	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/framerusercontent.com/images/7Sbsg8sO6E6ZrytHtPymWx8Kylc.jpg	(from https://incomplete-learning-491835.framer.app/)
14:18:52	860425/860425	---M--	200	added ('OK')	image/png	etag:%224ec795b53bba028e09e6d55cd7f83959%22	https://framerusercontent.com/assets/MMFHexxPgEktGQ3qglAeGcCRTGM.png	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/framerusercontent.com/assets/MMFHexxPgEktGQ3qglAeGcCRTGM.png	(from https://incomplete-learning-491835.framer.app/)
14:18:56	345979/345979	---M-Z	200	added ('OK')	text/html	etag:%22c515456362f61d97d926c011e751cfd7%22	https://incomplete-learning-491835.framer.app/about	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/incomplete-learning-491835.framer.app/about.html	(from https://incomplete-learning-491835.framer.app/)
14:19:01	299881/299881	---M-Z	200	added ('OK')	text/html	etag:%226fb618d73aa855dca17c5993d7c36332%22	https://incomplete-learning-491835.framer.app/works	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/incomplete-learning-491835.framer.app/works.html	(from https://incomplete-learning-491835.framer.app/)
14:19:06	450181/450181	---M-Z	200	added ('OK')	text/html	etag:%224c4f01805ea182f18fd2cda3840cce80%22	https://incomplete-learning-491835.framer.app/contact	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/incomplete-learning-491835.framer.app/contact.html	(from https://incomplete-learning-491835.framer.app/)
14:19:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Apr%202024%2007:19:06%20GMT	https://incomplete-learning-491835.framer.app/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%2028%2028%22%3E%3Cpath%20d%3D%22M%2010.5%207%20L%2017.5%2014%20L%2010.5%2021%22%20fill%3D%22transparent%22%20stroke-width%3D%222%22%20stroke%3D%22rgb(255%2C255%2C255	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/incomplete-learning-491835.framer.app/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%2028%2028___path%20d=	(from https://incomplete-learning-491835.framer.app/)
14:19:07	2518/2518	---MC-	200	added ('OK')	image/png	date:Fri,%2026%20Apr%202024%2007:19:06%20GMT	https://framerusercontent.com/images/iXgxfsta1XVO5iXIqlJ23MBdE.png	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/framerusercontent.com/images/iXgxfsta1XVO5iXIqlJ23MBdE.png	(from https://incomplete-learning-491835.framer.app/)
14:19:08	17159/17159	---MC-	200	added ('OK')	image/png	date:Fri,%2026%20Apr%202024%2007:19:07%20GMT	https://framerusercontent.com/images/NPXD3T7nlGranEFcPug44M5S3vY.png	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/framerusercontent.com/images/NPXD3T7nlGranEFcPug44M5S3vY.png	(from https://incomplete-learning-491835.framer.app/)
14:19:09	18042/18042	---MC-	200	added ('OK')	image/png	date:Fri,%2026%20Apr%202024%2007:19:08%20GMT	https://framerusercontent.com/images/UD5sUffIGgBrDW0tInGJeV7eoIA.png	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/framerusercontent.com/images/UD5sUffIGgBrDW0tInGJeV7eoIA.png	(from https://incomplete-learning-491835.framer.app/)
14:19:09	6968/6968	---MC-	200	added ('OK')	image/png	date:Fri,%2026%20Apr%202024%2007:19:09%20GMT	https://framerusercontent.com/images/SbqBPOqXhuWgU1ajB8uiJqPujmA.png	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/framerusercontent.com/images/SbqBPOqXhuWgU1ajB8uiJqPujmA.png	(from https://incomplete-learning-491835.framer.app/)
14:19:10	802945/802945	---MC-	200	added ('OK')	image/png	date:Fri,%2026%20Apr%202024%2007:19:10%20GMT	https://framerusercontent.com/images/Df5NNmw1bBVetK3aK3l904iAsmY.png	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/framerusercontent.com/images/Df5NNmw1bBVetK3aK3l904iAsmY.png	(from https://incomplete-learning-491835.framer.app/)
14:19:11	175341/175341	---MC-	200	added ('OK')	image/png	date:Fri,%2026%20Apr%202024%2007:19:11%20GMT	https://framerusercontent.com/images/3SiNsGV2OWFTz0WZrDzv3F2Qkc.png	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/framerusercontent.com/images/3SiNsGV2OWFTz0WZrDzv3F2Qkc.png	(from https://incomplete-learning-491835.framer.app/)
14:19:13	408234/408234	---MC-	200	added ('OK')	image/png	date:Fri,%2026%20Apr%202024%2007:19:12%20GMT	https://framerusercontent.com/images/dXToeYIjwKYjMcqTlocCEgZjM.png	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/framerusercontent.com/images/dXToeYIjwKYjMcqTlocCEgZjM.png	(from https://incomplete-learning-491835.framer.app/)
14:19:14	240257/240257	---MC-	200	added ('OK')	image/png	date:Fri,%2026%20Apr%202024%2007:19:13%20GMT	https://framerusercontent.com/images/MMFHexxPgEktGQ3qglAeGcCRTGM.png	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/framerusercontent.com/images/MMFHexxPgEktGQ3qglAeGcCRTGM.png	(from https://incomplete-learning-491835.framer.app/)
14:19:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Apr%202024%2007:19:14%20GMT	https://incomplete-learning-491835.framer.app/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%2024%2024%22%3E%3Cpath%20d%3D%22M%209%206%20L%2015%2012%20L%209%2018%22%20fill%3D%22transparent%22%20stroke-width%3D%221.411764705882353%22%20stroke%3D%22rgb(255%2C255%2C255	C:/Users/Reddblue/Desktop/CODING/ALLPORT/Zhealio%20Portfolio/incomplete-learning-491835.framer.app/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%2024%2024___path%20d=	(from https://incomplete-learning-491835.framer.app/)
